,country,year,life_expectancy
25078,Romania,1854,35.7
25079,Russia,1854,27.5
25080,Rwanda,1854,31.8
25084,St. Lucia,1854,28.01
25086,St. Vincent and the Grenadines,1854,25.99
25088,Samoa,1854,25.4
25090,Sao Tome and Principe,1854,31.0
25091,Saudi Arabia,1854,32.1
25092,Senegal,1854,25.2
25093,Serbia,1854,35.5
25096,Seychelles,1854,37.0
25097,Sierra Leone,1854,25.1
25098,Singapore,1854,34.0
25099,Slovak Republic,1854,36.4
25100,Slovenia,1854,36.6
25101,Solomon Islands,1854,25.1
25102,Somalia,1854,29.4
25104,South Africa,1854,33.5
25106,Spain,1854,29.5
25107,Sri Lanka,1854,32.6
25108,Sudan,1854,31.4
25109,Suriname,1854,32.9
25111,Swaziland,1854,32.3
25112,Sweden,1854,44.55
25113,Switzerland,1854,38.0
25114,Syria,1854,31.1
25115,Taiwan,1854,28.3
25116,Tajikistan,1854,24.24
25117,Tanzania,1854,32.2
25118,Thailand,1854,30.4
25119,Timor-Leste,1854,28.95
25120,Togo,1854,31.3
25122,Tonga,1854,28.2
25124,Trinidad and Tobago,1854,38.8
25125,Tunisia,1854,28.8
25126,Turkey,1854,35.0
25127,Turkmenistan,1854,24.0
25130,Uganda,1854,25.3
25131,Ukraine,1854,36.6
25132,United Arab Emirates,1854,30.7
25133,United Kingdom,1854,39.34
25134,United States,1854,39.41
25135,Uruguay,1854,32.9
25137,Uzbekistan,1854,26.93
25139,Vanuatu,1854,24.3
25140,Venezuela,1854,32.2
25141,West Bank and Gaza,1854,32.1
25143,Western Sahara,1854,34.75
25144,Vietnam,1854,32.0
25145,Virgin Islands (U.S.),1854,33.4
25148,Yemen,1854,23.39
25150,Zambia,1854,32.6
25151,Zimbabwe,1854,33.7
25153,South Sudan,1854,26.67
25356,Afghanistan,1855,27.65
25358,Albania,1855,35.4
25359,Algeria,1855,28.82
25362,Angola,1855,26.98
25364,Antigua and Barbuda,1855,33.54
25365,Argentina,1855,33.2
25366,Armenia,1855,34.0
25367,Aruba,1855,34.42
25368,Australia,1855,34.05
25369,Austria,1855,34.4
25370,Azerbaijan,1855,29.17
25371,Bahamas,1855,35.18
25372,Bahrain,1855,30.3
25373,Bangladesh,1855,25.5
25374,Barbados,1855,32.12
25375,Belarus,1855,36.2
25376,Belgium,1855,37.49
25377,Belize,1855,26.5
25378,Benin,1855,31.0
25380,Bhutan,1855,28.8
25381,Bolivia,1855,33.0
25382,Bosnia and Herzegovina,1855,35.1
25383,Botswana,1855,33.6
25384,Brazil,1855,31.99
25386,Brunei,1855,29.2
25387,Bulgaria,1855,38.22
25388,Burkina Faso,1855,29.2
25389,Burundi,1855,31.5
25390,Cambodia,1855,35.0
25391,Cameroon,1855,28.75
25392,Canada,1855,41.27
25393,Cape Verde,1855,33.8
25395,Central African Republic,1855,30.0
25396,Chad,1855,30.9
25398,Chile,1855,32.0
25399,China,1855,27.0
25402,Colombia,1855,32.0
25403,Comoros,1855,32.1
25404,"Congo, Dem. Rep.",1855,31.6
25405,"Congo, Rep.",1855,32.7
25407,Costa Rica,1855,30.21
25408,Cote d'Ivoire,1855,31.16
25409,Croatia,1855,36.1
25410,Cuba,1855,36.52
25411,Cyprus,1855,38.51
25412,Czech Republic,1855,34.95
25414,Denmark,1855,46.18
25415,Djibouti,1855,29.9
25417,Dominican Republic,1855,29.9
25419,Ecuador,1855,32.9
25420,Egypt,1855,33.0
25421,El Salvador,1855,28.7
25422,Equatorial Guinea,1855,29.8
25423,Eritrea,1855,30.2
25425,Estonia,1855,39.41
25426,Ethiopia,1855,29.7
25429,Fiji,1855,26.1
25430,Finland,1855,31.94
25431,France,1855,37.54
25432,French Guiana,1855,30.5
25433,French Polynesia,1855,25.6
25434,Gabon,1855,30.6
25435,Gambia,1855,28.8
25436,Georgia,1855,31.87
25437,Germany,1855,38.37
25438,Ghana,1855,28.0
25440,Greece,1855,36.6
25441,Greenland,1855,33.87
25442,Grenada,1855,37.3
25443,Guadeloupe,1855,27.66
25444,Guam,1855,27.5
25445,Guatemala,1855,25.81
25447,Guinea,1855,30.07
25448,Guinea-Bissau,1855,32.0
25449,Guyana,1855,31.12
25450,Haiti,1855,29.0
25452,Honduras,1855,33.9
25453,"Hong Kong, China",1855,34.9
25454,Hungary,1855,36.0
25455,Iceland,1855,38.15
25456,India,1855,25.44
25457,Indonesia,1855,30.0
25458,Iran,1855,25.6
25459,Iraq,1855,31.2
25460,Ireland,1855,38.3
25462,Israel,1855,32.0
25463,Italy,1855,29.69
25464,Jamaica,1855,34.2
25465,Japan,1855,36.42
25467,Jordan,1855,31.7
25468,Kazakhstan,1855,26.2
25469,Kenya,1855,25.5
25470,Kiribati,1855,24.9
25471,North Korea,1855,26.0
25472,South Korea,1855,25.8
25475,Kuwait,1855,26.0
25476,Kyrgyz Republic,1855,23.94
25477,Lao,1855,31.9
25478,Latvia,1855,33.0
25479,Lebanon,1855,29.7
